# MAGPI_ID      z_spec        SFR        SFR_err  SFR_flag
#==Notes: SFR_flag=0 use Ha/Hb for correction, 1 use Ha/Hg, 2 use Hb/Hg, 3 use Hb/Hd==
#==Require S/N>=3 on both lines; Corrections assume Milky Way extinction curve==
1505244331     0.832700     0.659831     0.516578       2
1505245192     0.318600          NaN          NaN     -99
1505271308     0.126300     0.406048   0.00329993       0
1505292268     0.736500          NaN          NaN     -99
1505293206     0.794200     0.295110     0.303719       2
1505298107     0.785800      2.12671      2.22960       2
1505306247      1.01920          NaN          NaN     -99
1505311137     0.186400          NaN          NaN     -99
1505315238     0.602700    0.0314275    0.0405229       2
1505317089     0.113200    0.0183365  0.000665236       0
1505317278      1.36190          NaN          NaN     -99
1505324228     0.282300    0.0340096   0.00234089       0
1505325291     0.216400          NaN          NaN     -99
1505328263     0.615000      13.4036      1.06928       2
1505334274     0.677100    0.0370332    0.0387096       2
1505349246     0.615200          NaN          NaN     -99
1505352206     0.267800     0.249646   0.00820764       0
1505360141      1.01360          NaN          NaN     -99
1506062229     0.808200          NaN          NaN     -99
1506064221     0.896700      1.02931     0.382622       2
1506068356     0.295800          NaN          NaN     -99
1506071192     0.784000          NaN          NaN     -99
1506082320     0.293900      1.04228    0.0125137       0
1506083298     0.363000     0.113899   0.00954548       0
1506086264     0.362000    0.0477150   0.00508864       0
1506106169     0.294500     0.794248    0.0167791       0
1506106326     0.294900          NaN          NaN     -99
1506111077     0.294200    0.0677276   0.00402450       0
1506114164     0.644100          NaN          NaN     -99
1506117050     0.328200     0.159539   0.00763782       0
1506152130      1.45260          NaN          NaN     -99
1506160230     0.298100    0.0197160   0.00188685       0
1506180234     0.582000          NaN          NaN     -99
1506183218     0.582500     0.513453     0.184048       2
1506186182     0.854100      11.4486      4.91848       2
1506191210      1.38900          NaN          NaN     -99
1506192126      1.38140          NaN          NaN     -99
1506200244     0.325100    0.0135234   0.00221984       0
1506211197     0.296300          NaN          NaN     -99
1506221204     0.296700          NaN          NaN     -99
1506234316      1.03230          NaN          NaN     -99
1506242128     0.476900    0.0125330    0.0122748       2
1506263063      1.43040          NaN          NaN     -99
1506266330     0.728500     0.399403     0.211349       2
1506274152     0.542100          NaN          NaN     -99
1506279269     0.296600      3.02747    0.0667532       0
1506295058      1.12120          NaN          NaN     -99
1506299100     0.576900    0.0968752    0.0485246       2
1506302119      1.28700          NaN          NaN     -99
1506303028     0.268500    0.0424083   0.00421080       0
1506314162      1.01230          NaN          NaN     -99
1506324141      1.14170          NaN          NaN     -99
1506324223     0.432600     0.264359    0.0776188       2
1506325220     0.295800     0.433027    0.0287075       1
1506331125     0.843300      6.68132      2.06706       2
1506355324     0.676500     0.501533     0.174059       3
1507053064     0.655400          NaN          NaN     -99
1507064079     0.593500      8.35332      7.03756       2
1507067155      1.15750          NaN          NaN     -99
1507071351     0.557000          NaN          NaN     -99
1507074187     0.648100     0.506866     0.182008       2
1507074277     0.901000          NaN          NaN     -99
1507079211     0.783100     0.809728     0.192966       2
1507080085     0.782400      3.24126      1.09303       2
1507084083     0.258100      2.52193    0.0196845       0
1507086276     0.900900      5.47651     0.536392       2
1507089365     0.554800          NaN          NaN     -99
1507102128     0.864400     0.863069     0.276864       2
1507103239     0.314800     0.294538   0.00812489       0
1507112242     0.901800      1.10882     0.586928       2
1507113044     0.403900    0.0192196   0.00149655       0
1507114152     0.782800          NaN          NaN     -99
1507121027     0.900400      26.3485      17.1951       2
1507124318     0.556100    0.0833978    0.0458505       2
1507125199     0.858900     0.736562     0.637519       2
1507128041     0.899600      5.07722      3.75173       2
1507130356     0.554900     0.310075     0.153270       2
1507148204      1.16230          NaN          NaN     -99
1507149063     0.540900      1.88082      1.40136       2
1507150106     0.316500     0.751534    0.0234460       0
1507159102     0.714700      1.27646     0.180851       2
1507164260      1.25020          NaN          NaN     -99
1507170063     0.901200      2.04247     0.509272       2
1507173242      1.30780          NaN          NaN     -99
1507189322     0.899100          NaN          NaN     -99
1507190180     0.257700     0.163410   0.00879213       0
1507194106     0.541400      3.88265      1.27518       2
1507196198     0.314300          NaN          NaN     -99
1507208130     0.256000    0.0128482   0.00231387       0
1507209150     0.857500          NaN          NaN     -99
1507211057     0.315200      1.34392    0.0174131       0
1507211324     0.647900    0.0359637    0.0268482       2
