MAGPIID,Ha,Ha_err,Hb,[OI]6302,[OIII]5008,[NII]6585,[SII]6718,"type(sf+AGN=0, sf=1, sy=2, ln=3)","type(sf=1, sy=2, ln=3) SII","type(sf=1, AGN>1) NII",SFR,SFR_err,"re, arcsec","re, kpc"
1509231092,0.0,,0.0,47.189445,247.22047,18.544727,0.0,0.0,0.0,2.0,,,0.8260000000000001,18.12034973549418
1509247119,0.0,,0.0,67.55592,188.67278,103.39923,0.0,0.0,0.0,2.0,,,0.786,17.523071200628166
1509291230,23120.324,1.2415204390473996e-17,5913.491,1362.8535,13269.498,2765.3127,6330.4863,1.0,1.0,0.0,0.7642302340075524,0.020756654298804755,0.787,18.031577537797396
1511160258,13337.221,5.554800382521789e-17,3018.65,227.56781,1290.9208,4102.045,5382.581,1.0,1.0,0.0,0.5592546209569236,0.09024334495859379,1.296,29.438383107425867
1511283231,29015.215,8.937537050665698e-17,5212.718,636.0054,1863.4856,14123.191,9518.961,1.0,1.0,0.0,2.0036564563228407,0.14452102482134582,1.173,26.606806282154402
1512104268,701.37195,9.005417952963316e-16,36.528065,119.78767,1142.3154,2750.4124,1054.1453,0.0,2.0,0.0,0.8718823271466843,1.7625492388095836,0.9419999999999998,22.611387402688475
1512115127,4498.8496,1.7467470076820723e-17,1220.438,158.35153,1203.8843,1040.3534,1866.497,1.0,1.0,0.0,0.1552347510618291,0.034659634866441066,0.875,21.08691414738181
1512197195,0.0,0.0,22.164667,21.589766,745.01825,85.66736,0.0,0.0,0.0,2.0,0.0,0.0,1.046,25.15524992420305
1522197197,0.0,,0.0,783.79803,562.6238,324.80557,0.0,0.0,0.0,2.0,,,0.717,16.20581215363325
1523135170,27977.996,4.1678054823759364e-17,7228.076,1328.791,7214.581,5635.874,8302.438,1.0,1.0,0.0,1.060748730855705,0.08169084112632144,1.038,24.926213356499183
1523140218,2705.2158,1.3731338150512394e-17,616.5631,23.886044,555.647,466.37317,1104.0325,1.0,1.0,0.0,0.17429260728571302,0.034801206017023516,0.701,18.1015216905282
1523197197,49.379356,inf,0.0,151.68541,1871.9081,583.2244,0.0,2.0,2.0,2.0,inf,inf,1.371,30.083845958333264
1524197197,8378.939,3.305916517101597e-14,116.77927,461.73126,0.0,18431.492,6813.508,1.0,1.0,0.0,198.76796759302485,69.7346329962645,1.327,32.5479322779316
1524318252,1169.887,7.127165238189344e-84,9.247077e+32,37.83184,481.4256,1221.5618,10542.146,1.0,1.0,0.0,6.226435414158913e-69,5.691344897950331e-69,0.735,13.279801804871992
1525170222,227.05739,1.7798308073182256e-16,37.42231,47.543083,1885.8176,4142.8916,92.170975,0.0,2.0,0.0,0.022935992537868575,0.34885475420383566,1.314,31.553992630481623
1525196197,0.0,0.0,78.22671,49.645912,1118.1385,217.98065,90.7366,1.0,1.0,0.0,0.0,0.0,1.421,33.97247456959119
1526198197,7675.556,2.732452181436401e-15,400.12607,2675.7354,3740.1113,10649.769,6937.6772,0.0,2.0,2.0,8.35502419964049,4.692555716087688,1.688,38.98703853839117
1527173209,25564.562,3.6152389477980036e-17,6852.209,1941.9207,15829.693,2785.0127,7866.3955,1.0,1.0,0.0,0.7044129915473136,0.05580175644531846,1.286,28.760936056641253
1527196197,370.5285,inf,0.0,101.42376,1327.6056,3994.8228,66.78301,2.0,2.0,2.0,inf,inf,1.032,23.164188023387393
1528197197,77337.375,2.9849719181021453e-16,13161.113,3241.4568,4335.795,31251.121,18384.453,1.0,1.0,0.0,7.391202610545207,0.5935697733803691,2.085,50.278541033228365
1528310241,3610.1187,2.8817119674392614e-17,781.7665,166.114,740.5803,757.2883,1655.1648,1.0,1.0,0.0,0.20314929899127357,0.057056639337658054,0.9659999999999999,23.26537807963982
1529198197,0.0,0.0,28.415066,102.837296,2116.042,1395.2876,1118.7397,2.0,3.0,2.0,0.0,0.0,1.066,26.90573992105006
1529230052,1572.6157,5.037469989488294e-14,21.753155,326.89893,1097.1238,5974.461,1666.6328,0.0,2.0,0.0,45.21044452603057,126.67282887816839,1.493,38.46979958077657
1529345176,18580.795,5.3724495891611485e-17,4022.9807,597.8509,1040.1445,7103.7637,6409.1973,1.0,1.0,0.0,0.81151110602557,0.0825291718603008,0.797,17.79865143912474
1530183213,1177.9452,1.0950265504900564e-17,306.124,9.05594,765.9568,0.0,0.0,1.0,1.0,0.0,0.06073026045964691,0.029564415279737237,0.773,20.307632652941358
1530197196,27.874905,inf,0.0,153.8508,1177.8137,161.6647,370.26538,2.0,2.0,2.0,inf,inf,1.061,24.920341721822066
1530272149,2549.5952,3.574185413610631e-17,405.48242,38.19427,227.3846,790.74567,999.3085,1.0,1.0,0.0,0.2559851643254152,0.06442069047560114,0.948,22.212277023411783
1530322331,23555.295,1.9668954210922383e-16,3622.4146,4532.6333,0.0,8588.141,7264.298,1.0,1.0,0.0,3.807022948917771,0.5303617963292674,1.067,28.021698978728327
1531086218,2023.2394,1.4568181929182698e-17,443.5802,36.29503,468.1216,221.48817,521.40735,1.0,1.0,0.0,0.1351013310774629,0.03516294487806265,0.702,17.884710243493124
1531103073,3004.0713,1.3579048114442103e-17,794.7822,153.53906,925.9823,103.45516,1267.0319,1.0,1.0,0.0,0.13043394691333052,0.032102913345979096,0.774,19.605609766208957
1531146201,19426.023,2.227979888439575e-17,4570.7783,1471.627,4818.8994,4246.4116,7972.6416,1.0,1.0,0.0,0.4271126506368502,0.02065507409945461,1.041,19.781229798085516
1531178256,7676.8447,4.8725670663821153e-17,1511.4065,111.55867,259.59573,2280.5156,1687.1466,1.0,1.0,0.0,0.641677342158871,0.11643667188212294,0.9289999999999999,23.602187408192147
1531194196,339.34753,3.0368218911716047e-15,15.784947,591.3537,4253.4385,5411.8594,3353.336,2.0,3.0,2.0,0.6497301623189595,7.1554198110542835,1.24,31.380072423704313
1531268070,6080.8438,1.8503168287583174e-17,1448.2362,52.685196,304.35956,1622.7986,1759.0378,1.0,1.0,0.0,0.3253936454991576,0.04286827862683396,0.727,18.311257063355143
1531314096,1296.824,1.1367946546239973e-17,348.76184,8.158817,479.39624,126.61347,401.6756,1.0,1.0,0.0,0.055581846871613265,0.0274934620048236,0.742,18.914264186898897
1533197198,44380.17,1.730394058428127e-16,7288.125,1354.504,3509.415,22058.984,11758.833,0.0,1.0,0.0,4.372794902946224,0.32823166354566785,1.28,30.445287049387755
1534149233,0.0,0.0,11.865942,39.34401,1252.0829,322.72345,0.0,0.0,0.0,2.0,0.0,0.0,1.254,29.582777406176838
1534176099,0.0,0.0,50.964645,57.588318,1562.67,182.35121,0.0,0.0,0.0,2.0,0.0,0.0,1.155,27.104286205422362
1534194077,39105.484,6.674734712718258e-17,7072.3037,1391.3269,1581.6711,13675.463,8178.6694,1.0,1.0,0.0,3.072153320648347,0.1245788208092935,0.9729999999999999,23.033728556904837
1534198197,316.9044,5.894883808131903e-17,109.16455,124.369125,4255.316,3770.701,1318.5244,3.0,1.0,0.0,0.006096849812271608,0.10978018305886915,2.324,54.980062209874696
1534207240,22.96179,inf,0.0,0.0,165.78458,0.0,0.0,2.0,2.0,2.0,inf,inf,0.878,20.789303354762183
1534250078,0.0,,0.0,34.508514,296.3489,182.35526,0.0,0.0,0.0,2.0,,,0.738,17.299482303234065
1534261263,5018.7646,1.0065838765454286e-17,1450.5637,75.15854,3790.5527,416.82428,1565.3896,1.0,1.0,0.0,0.20719011070212728,0.027437110744299727,0.8119999999999999,21.38726302006016
1534282147,4534.4277,2.5544576520100116e-17,1246.25,193.31317,2237.3591,289.90747,1245.9219,1.0,1.0,0.0,0.1481624426247489,0.04938315452149135,0.846,20.23427519652947
1534302074,0.0,0.0,41.90844,86.05577,866.88556,0.0,40.06922,0.0,3.0,0.0,0.0,0.0,0.8340000000000001,19.597276093553017
2301064121,39355.582,1.344335679532936e-16,6349.502,792.0519,1180.8123,12682.623,8521.102,1.0,1.0,0.0,3.441163573823283,0.2177204264079419,1.1,24.96274557170344
2301109255,37519.72,6.198868299182406e-17,7203.7676,1198.8735,1718.343,14497.096,10000.496,1.0,1.0,0.0,2.2292433618890724,0.0996892399545226,1.178,26.676034078141903
2301167297,3247.1184,1.5288118763748953e-17,700.19507,24.60862,80.00421,825.98914,748.31537,1.0,1.0,0.0,0.15356683702386406,0.025206661699607356,0.715,16.313559442796375
2301196197,104.020966,1.4047221289049292e-17,48.429962,1316.7902,1870.3246,208.066,58.10511,0.0,2.0,2.0,0.0009279610906373345,0.023394775615751214,1.488,34.05327696222402
2301257053,4073.6567,7.720151379734166e-17,553.4511,58.967266,842.19385,2273.503,258.24625,0.0,1.0,2.0,0.5389636582695717,0.13006834196083308,0.78,17.9124974043793
2301269327,31262.201,9.280848028088412e-17,6481.3174,7762.6914,10440.063,21550.434,22579.479,0.0,3.0,2.0,1.6308792937602938,0.1549249776987583,1.423,32.58838407853574
2301288271,7408.419,2.99504624885449e-17,1609.6627,252.63113,1250.4438,1725.0281,2974.0713,1.0,1.0,0.0,0.35216007946283,0.05046024106562665,1.036,23.79147091145764
2301290261,1993.0608,4.891730225925973e-16,144.59808,1032.1249,2094.5505,3975.479,1410.0415,0.0,2.0,2.0,1.0210687466481612,0.812801892308065,1.008,23.05229377896479
