,MAGPIID,segID,xmax,ymax,RAmax,Decmax,z.x,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it,fwhm_g,fwhm_r,fwhm_i,fwhm_z,stelkinfrac0p5Re,stelkinfracRe,gaskinfrac0p5Re,gaskinfracRe,re_galfit,re_err_galfit,n_galfit,n_err_galfit,q_galfit,q_err_galfit,mag_galfit,mag_err_galfit,pa_galfit,pa_err_galfit,chi2_galfit,z.y,StellarMass_bestfit,StellarMass_median,StellarMass_16,StellarMass_84,SFRburst_bestfit,SFRburst_median,SFRburst_16,SFRburst_84,P_asym,P_asym_err,C,C_err,centre_asym_x,centre_asym_y,centroid_x,centroid_y,walk_dist_pix,nan_frac
42,1524197197,2,197.5,197.5,219.654114,-1.050075,0.3302,4,18.523,17.943,1.327,3.892,0.922,8.31,0.640218445241586,0.602146041059437,0.546173496934027,0.503457238154936,1.0,1.0,1.0,0.985507246376812,2.64,0.11,8.0,0.16,0.72,0.0,17.63,0.02,-48.85,0.47,158.303,0.3302,74734198414.049,83989584055.4414,72823957394.5922,97804687469.7078,32.6258475806076,23.1066732606749,15.4984825225676,35.2286589749216,0.09348760921183671,0.0038666085519906044,4.023446265085698,0.06503569272296439,72.59173630853016,72.81692255309588,72.8147328344645,72.8147328344645,0.34745039245499915,0.08
43,1524243357,3,243.5,357.5,219.651558,-1.041186,0.3292,4,19.32,18.729,1.009,3.247,0.705,109.42,0.640218445241586,0.602146041059437,0.546173496934027,0.503457238154936,1.0,0.9625,0.0,0.0,1.42,0.02,5.72,0.04,0.9,0.0,18.32,0.01,-17.19,1.13,11.783,0.3292,50849387365.3191,57619341481.0577,46823511825.0732,81936671592.4354,26.3387378391231,0.00626361468232,1.4643660678314696e-28,14.8108602446975,0.5429685325871006,0.02830067466574889,3.5083355590901917,0.0772173647446818,79.75248406183951,38.92908546148294,80.32146891936507,80.32146891936507,2.6683951913528503,0.13
44,1525170222,3,170.5,222.5,219.66866,0.335025,0.3199,4,18.873,18.239,1.314,3.86,0.768,154.99,0.706169490578691,0.661689577086997,0.600578164059923,0.554145796990953,1.0,1.0,0.0588235294117647,0.0220588235294118,1.44,0.01,3.92,0.02,0.54,0.0,18.2,0.0,-55.92,0.17,44.316,0.3199,301819867070.988,255603536494.182,192638281259.883,364904286065.741,5.92377447246385e-79,1.28492645320203e-37,2.59210036921618e-168,8.10218014973399e-08,0.047506044602549355,0.004950123406906217,3.3632713118833495,0.02386516612131089,96.58465300450905,96.81239503481493,96.51745979726043,96.51745979726043,0.07137014571105232,0.34
45,1525196197,2,196.5,197.5,219.667216,0.333636,0.3178,4,18.65,18.041,1.421,4.008,0.846,140.96,0.706169490578691,0.661689577086997,0.600578164059923,0.554145796990953,1.0,1.0,0.0,0.0,1.91,0.02,4.96,0.04,0.87,0.0,17.8,0.01,-37.31,0.77,53.511,0.3178,93535451565.1087,144197286111.44,105363062577.146,164267392626.93,0.452266502849637,0.492764475075566,0.0123390899176604,1.77536994345273,0.03670852525559417,0.004724583468969965,3.4403106061731576,0.07115352181357433,90.06953442752149,90.0732082766303,89.64945861801488,89.64945861801488,0.5502124991000721,0.31
46,1526198197,1,198.5,197.5,219.826437,2.252998,0.3021,4,18.769,18.269,1.688,3.867,0.774,81.35,0.608283321759694,0.564013949786904,0.497989088452326,0.452030233465649,1.0,0.94954128440367,0.913793103448276,0.711009174311927,3.68,0.21,8.0,0.21,0.67,0.01,17.87,0.03,-67.57,0.66,189.11,0.3021,179905782687.624,164653541770.039,150838179980.435,220237244024.166,12.973081460724,12.4140993457189,4.09500801136083,23.7631988825371,0.15535409746765869,0.013260075114408383,3.5891552616939615,0.15956131741253846,78.95486938759674,78.80709002278249,78.22553533627055,78.22553533627055,0.783949050149994,0.13
47,1527196197,1,196.5,197.5,220.044138,-0.65662,0.2899,4,19.317,18.663,1.032,2.64,0.598,68.5,0.613142032812757,0.572642793002213,0.509924426983493,0.464006465427152,1.0,0.9875,0.25,0.1125,1.08,0.01,3.04,0.03,0.27,0.0,18.62,0.0,62.57,0.08,44.375,0.2899,208583388063.942,209071955516.34,190222706325.868,227969531424.992,4.829425375977e-14,0.0005031764698812,2.8057784080388e-15,0.0511900983695237,0.07073764384767064,0.005627097056705372,2.8701652606543293,0.00328093811991728,56.180022254060006,56.45085612056789,56.677861106359565,56.677861106359565,0.500048083051503,0.24
48,1528197197,2,197.5,197.5,220.2323,-1.648061,0.3219,4,18.869,18.345,2.085,4.069,0.581,157.23,0.662378590074119,0.622168153242609,0.564138325748838,0.520026280394483,1.0,0.988439306358382,1.0,1.0,2.06,0.01,0.73,0.0,0.54,0.0,18.37,0.0,-24.9,0.17,77.264,0.3219,205544411468.966,268957811152.992,205727165510.414,304729131957.663,103.771716212935,59.477879278381,28.8524688905049,142.137747444972,0.14019643579377103,0.004097837298794778,2.246429723285466,0.008438539757337979,71.7050356535512,72.37984912811928,71.7668693322348,71.7668693322348,0.12056383113170738,0.15
49,1529198197,3,198.5,197.5,220.366888,-0.099516,0.3449,4,19.636,19.01,1.066,3.021,0.856,3.13,0.669658015381145,0.628080888292574,0.565366818271749,0.517193141989892,1.0,1.0,0.0,0.0,1.04,0.18,5.62,0.79,0.92,0.04,18.85,0.08,-10.02,13.46,2430.47,0.3449,148588464268.695,113618197400.039,92066096689.7279,142837158890.032,0.418499691430447,1.82216557265814e-10,5.78471482605823e-36,0.0080036712005879,0.04005418313493389,0.007412944522226122,3.2851384208338255,0.8039360096707049,69.93616420278465,70.51492414970829,70.19362763821951,70.19362763821951,0.7096163838689923,0.18
50,1529230052,4,230.5,52.5,220.36511,-0.107572,0.3561,4,19.363,18.766,1.493,4.296,0.885,51.37,0.669658015381145,0.628080888292574,0.565366818271749,0.517193141989892,1.0,0.703488372093023,0.347826086956522,0.0988372093023256,3.93,0.15,8.0,0.13,0.88,0.0,18.23,0.02,63.33,0.93,20.112,0.3561,249481519818.735,295973234934.672,257616959486.362,554548766511.063,13.8495370628355,38.0511150132446,13.4592728320223,130.702051844508,0.07216017243825801,0.00516691347519373,3.561796896500117,0.03157067869958493,77.57130765127539,51.96351268693104,77.76092176106863,77.76092176106863,0.49586288515359167,0.11
51,1530197196,3,197.5,196.5,222.143845,2.94129,0.3096,4,18.78,18.158,1.061,3.525,0.746,104.6,0.585588809503333,0.548468429990449,0.488584729654547,0.44415520600675,1.0,1.0,0.0,0.0108695652173913,0.93,0.0,3.82,0.02,0.63,0.0,18.13,0.0,-84.82,0.13,19.561,0.3096,243633253485.157,201262047116.382,173505246643.628,232124168553.168,0.227063443706442,5.9999773154492e-05,2.64556951803654e-31,0.299240046877885,0.035002078452504096,0.005248735245252609,3.365248174463229,0.11946503847980769,89.19945126917716,89.2745690211244,89.23740130097862,89.23740130097862,0.1579470125008357,0.25
