MAGPIID,z,v_asym_g,v_asym_g_err,v_asym_s,v_asym_s_err,PA_g,PA_s,D_PA,V_rot_g,V_rot_s,Sigma_g,Sigma_s,SNR_g,SNR_s,re_over_psf
2301109255,0.2936,0.056029846911488136,0.0026631986932533812,0.034286902045542175,0.011720861622599997,113.6122938105683,296.2335272650966,182.6212334545283,133.25252825272548,103.03236733563926,98.59680252548283,100.05058765844228,64.49996681400974,15.343333695859345,1.682857142857143
2301167297,0.2968,0.048298257558505246,0.015423510346146677,,,71.25643351131932,108.0,36.743566488680685,98.81393673269574,37.765698271868985,42.06231950042078,38.151715985723115,35.394139530105946,4.957547012487422,1.0214285714285716
2301196197,0.2981,,,0.024150599522771005,0.007190264303026495,,135.22274116909384,,,130.086113006332,,256.90380491396957,,29.6133378359976,2.125714285714286
2301257053,0.2996,0.06669855196355061,0.018709776075581462,0.110191184418573,0.03957864862731588,58.27033432608425,236.6401361276404,178.36980180155615,102.04148805339211,92.10710089948479,69.93060648113898,54.30054011575428,20.581437375239574,6.245574394990885,1.1142857142857143
2301269327,0.2984,0.07067688155163455,0.008656523780917226,,,0.5731023864024385,0.0,0.5731023864024385,124.14806721105842,76.81834265990211,135.3157075448399,185.89168242159107,38.645901058016776,20.85790137861287,2.0328571428571434
2301288271,0.2996,0.08411766237409983,0.036935103192036106,,,287.7318689167519,0.0,287.7318689167519,54.31783341911366,29.21332488292904,57.72420543539031,151.13109103327747,42.741160396948224,8.808796397523047,1.4800000000000002
2301290261,0.2978,0.11579888389396005,0.021745040504881425,0.03367962629308971,0.010991011358515395,287.93025120059264,320.67927697633553,32.74902577574289,277.3353464397641,171.52609632871506,260.73138938238037,225.39210166271607,,27.881634660290697,1.4400000000000002
2302196199,0.2926,,,0.05208406238682389,0.01939704626708264,,143.99458218694642,,,59.46235978035352,,221.60446315079415,,22.77138329490585,3.1728571428571435
2302197233,0.2932,,,0.05034498361453231,0.0127937835274497,,112.09747678224127,,,116.55404685444738,,198.73542963726203,,23.62996984781743,2.025714285714286
2302245218,0.2898,,,0.07542055003315515,0.027675800893609943,,274.0743889969388,,,63.9776577007494,,62.81749797872345,,11.474830462304105,1.197142857142857
