,MAGPIID,segID,xmax,ymax,RAmax,Decmax,z.x,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it,fwhm_g,fwhm_r,fwhm_i,fwhm_z,stelkinfrac0p5Re,stelkinfracRe,gaskinfrac0p5Re,gaskinfracRe,re_galfit,re_err_galfit,n_galfit,n_err_galfit,q_galfit,q_err_galfit,mag_galfit,mag_err_galfit,pa_galfit,pa_err_galfit,chi2_galfit,z.y,StellarMass_bestfit,StellarMass_median,StellarMass_16,StellarMass_84,SFRburst_bestfit,SFRburst_median,SFRburst_16,SFRburst_84,P_asym,P_asym_err,C,C_err,centre_asym_x,centre_asym_y,centroid_x,centroid_y,walk_dist_pix,nan_frac,v_asym_g,v_asym_g_err,V_rot_g,SNR_g,Sigma_g,v_asym_s,v_asym_s_err,V_rot_s,SNR_s,Sigma_s,SFR_20,SFR_20_err,Ha_20,Ha_20_err,SFR_80,SFR_80_err,Ha_80,Ha_80_err,SFR_50,SFR_50_err,Ha_50,Ha_50_err,StarForm_ID_20,StarForm_ID_80,StarForm_ID_50,SFR_trev,SFR_err_trev,SFR_flag_trev,SNR_Phot,Phot_Flag,Kin_Flag_s,Kin_Flag_g
33,1507196198,3,196.5,198.5,215.620615,0.407516,0.3143,4,19.012,18.428,1.087,3.369,0.936,172.32,0.660450728460671,0.62512838458831,0.573599634380519,0.536029848772468,1.0,1.0,0.0,0.0,2.13,0.03,8.0,0.06,0.71,0.0,18.07,0.01,-21.56,0.25,33.207,0.3143,78443694673.4323,94399415330.577,77908193779.6415,119859086736.29,0.0028324082025469,1.34764893865989e-07,4.46121811540399e-44,0.0617590403412194,0.0296412921743066,0.0068125586957379,3.604413217498486,0.0188686440875768,80.87753685316271,81.23856888937563,80.91914453518515,80.91914453518515,0.6006062071931585,0.22,,,,,,0.0365768916563079,0.0122134951844424,88.00622118549835,28.821307481920968,211.6172033663605,,,0.0,,1.3497988398511448e-05,0.001170612601299,30.381107,6.221351019901465e-19,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,-99.0,6.479300480353312,1,1,0
34,1508197198,2,197.5,198.5,215.88356,2.714086,0.3157,4,19.448,18.875,2.124,4.206,0.356,21.65,0.581219910117881,0.544010293608881,0.484111038573954,0.440096941619674,1.0,0.691011235955056,1.0,0.932584269662921,2.24,0.01,1.05,0.01,0.24,0.0,18.88,0.0,20.16,0.07,52.022,0.3157,15321539454.6852,17192146218.2669,14140925886.5562,23898900828.4782,0.304407877807505,0.253255787082446,0.0002435925173283,1.21650201810856,0.1413805484234267,0.005670085295983,2.382880300405357,0.0030724623619118,71.80492367825804,71.40343802282092,71.74308429261252,71.74308429261252,0.071942062229313,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.622105272402205,1,0,0
36,1509199156,2,199.5,156.5,215.891155,2.640358,0.2828,4,17.434,16.841,3.133,9.328,0.683,77.04,0.568136536545443,0.529421636273212,0.46973746420017,0.426078839404535,1.0,0.923376623376623,0.0927835051546392,0.0298701298701299,5.04,0.08,5.25,0.04,0.77,0.0,16.54,0.01,73.41,0.37,238.839,0.2828,437974334209.415,432433625461.314,362881733193.532,474798570017.244,8.77027811532638e-06,1.25541253502412e-16,9.71736699727627e-102,0.0014526777902281,0.0270934564742407,0.0017690043306777,3.996561248575991,0.0130997195386167,150.72213380829447,151.34341430263274,150.6335712568626,150.6335712568626,0.1028278639010001,0.23,,,,,,0.0544478767891075,0.0198168294154817,100.45724947683912,25.95414121884089,291.0090686029251,,,,,,,,,,,,,,,,,,,5.340531559380877,1,1,0
37,1509231092,5,231.5,92.5,215.889375,2.636803,0.2806,4,19.788,19.281,0.826,2.304,0.826,12.35,0.568136536545443,0.529421636273212,0.46973746420017,0.426078839404535,1.0,1.0,0.0,0.0,0.75,0.01,4.37,0.05,0.68,0.0,19.18,0.01,19.88,0.43,29.571,0.2806,14636639847.2518,16287363340.272,13513438850.3984,32414732509.2671,0.0022490096260541,7.54815936471622e-07,1.0322374442719899e-22,0.0365021234364372,0.0589073960085939,0.0041848481697235,3.1875559728386578,0.0191876806600711,51.02430737881572,51.18224929740264,51.21701170783267,51.21701170783267,0.4995873083114418,0.54,,,,,,0.0335782595109889,0.0089035813316716,116.81851230274276,27.531525515885008,140.33021237760246,,,,,,,,,,,,,,,,,,,11.27390692874277,0,1,0
38,1511197198,1,197.5,198.5,216.571381,1.730855,0.2933,4,18.826,18.11,2.339,4.636,0.329,91.01,0.612857246078081,0.573599634380519,0.51320419774895,0.468058631318548,1.0,0.847222222222222,0.627450980392157,0.280092592592593,2.58,0.01,0.75,0.01,0.19,0.0,18.15,0.0,-89.51,0.05,112.549,0.2933,424686013375.159,448829989245.132,410731559957.963,491337179915.2,26.521650269014,9.00079173648109,1.84567193246944,30.4893753948917,0.0600124905173118,0.0049347132948148,2.252280822553039,0.325025062728488,88.41793173687878,88.30772493579919,88.42427426828306,88.42427426828306,0.0082808457497668,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.739004263940112,1,0,0
39,1511283231,2,283.5,231.5,216.566601,1.732688,0.2943,4,19.435,18.913,1.173,2.645,0.656,148.23,0.612857246078081,0.573599634380519,0.51320419774895,0.468058631318548,1.0,0.981132075471698,1.0,1.0,0.96,0.01,1.63,0.02,0.68,0.0,18.93,0.0,-50.82,0.57,121.351,0.2943,46059155108.3144,58032465744.5219,49756395662.4515,65488748603.6345,10.2151672842038,11.3369010042465,8.19725411937425,15.2110359730823,0.1081185553161316,0.0057377549611683,2.762897536762867,0.0569018177117527,50.23157632813111,50.46035732661525,50.42872402691528,50.42872402691528,0.3895176343965538,0.19,0.0252822574957517,0.0028401791954608,145.1490898172416,35.76383804946978,101.69722161442208,0.0371303741476043,0.0106561496434695,116.3296477255698,20.32149261834927,102.3246305497092,0.4348217705638019,0.1704531612555014,5338.7524,1.0541244403763236e-16,2.8915610257401547,0.1430348371615188,42308.156,8.845627535836514e-17,2.0036564563228407,0.1445210248213458,29015.215,8.937537050665698e-17,1.0,1.0,1.0,5.82567,0.224274,0.0,10.711928271185867,1,1,1
40,1512197195,1,197.5,195.5,216.586304,-1.717489,0.3206,4,19.518,18.894,1.046,3.005,0.759,32.47,0.598671323041469,0.554135543080064,0.48859443294264,0.441478064558102,1.0,1.0,0.0,0.0,1.18,0.01,5.93,0.03,0.66,0.0,18.71,0.0,20.0,0.22,16.445,0.3206,194944778699.899,167503024020.829,122106641805.164,216687391645.584,34.0134746080508,35.917180589844,24.7794892282431,59.3678591741494,0.0278180014573749,0.0078002908941314,3.3356758429064244,0.0100314480091317,75.99837345192589,76.33214760990137,75.8313413604911,75.8313413604911,0.289139010290294,0.16,,,,,,0.0425779021466982,0.0096428090677397,93.7092394376275,25.937466760513207,205.2668217422331,,,,,,,,,,,,,,,,,,,9.014250287518392,1,1,0
41,1523197197,2,197.5,197.5,219.540924,-1.099324,0.2807,4,18.509,17.93,1.371,3.983,0.952,66.17,0.657680840440533,0.621146239673491,0.564096296388285,0.516828595137324,1.0,1.0,0.0,0.0066666666666666,1.74,0.01,4.45,0.02,0.92,0.0,17.75,0.0,35.35,0.83,25.565,0.2807,184346702358.313,215123475533.611,181959448265.043,260552592332.969,8.92094835329702e-06,0.0078533028285833,3.6608090198228903e-19,1.86867778091784,0.0159978287085163,0.0047111055638687,3.553070012185493,0.0333649990765081,92.1281574927776,91.97437783494834,92.1736709820602,92.1736709820602,0.252544859871547,0.18,,,,,,0.0295460325845977,0.0099202450802378,43.85310668566902,26.78079157333805,187.6300239271464,,,0.0,,0.0044199761524593,0.1295056767437089,97.44438,8.927368525972074e-17,inf,inf,49.379356,inf,0.0,2.0,2.0,,,-99.0,8.349285773117987,1,1,0
42,1524197197,2,197.5,197.5,219.654114,-1.050075,0.3302,4,18.523,17.943,1.327,3.892,0.922,8.31,0.640218445241586,0.602146041059437,0.546173496934027,0.503457238154936,1.0,1.0,1.0,0.985507246376812,2.64,0.11,8.0,0.16,0.72,0.0,17.63,0.02,-48.85,0.47,158.303,0.3302,74734198414.049,83989584055.4414,72823957394.5922,97804687469.7078,32.6258475806076,23.1066732606749,15.4984825225676,35.2286589749216,0.0934876092118367,0.0038666085519906,4.023446265085698,0.0650356927229643,72.59173630853016,72.81692255309588,72.8147328344645,72.8147328344645,0.3474503924549991,0.08,0.0456413238904868,0.011096780606376,309.01160644189605,9.427447953953015,153.315003826355,0.0201929837419844,0.0077059741615897,279.99092132299785,28.60596118059858,173.9738128898311,,,,,,,,,,,,,,,,,,,6.074698377226817,1,1,1
43,1524243357,3,243.5,357.5,219.651558,-1.041186,0.3292,4,19.32,18.729,1.009,3.247,0.705,109.42,0.640218445241586,0.602146041059437,0.546173496934027,0.503457238154936,1.0,0.9625,0.0,0.0,1.42,0.02,5.72,0.04,0.9,0.0,18.32,0.01,-17.19,1.13,11.783,0.3292,50849387365.3191,57619341481.0577,46823511825.0732,81936671592.4354,26.3387378391231,0.00626361468232,1.4643660678314694e-28,14.8108602446975,0.5429685325871006,0.0283006746657488,3.508335559090192,0.0772173647446818,79.75248406183951,38.92908546148294,80.32146891936507,80.32146891936507,2.6683951913528503,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.947662124514264,1,0,0
44,1525170222,3,170.5,222.5,219.66866,0.335025,0.3199,4,18.873,18.239,1.314,3.86,0.768,154.99,0.706169490578691,0.661689577086997,0.600578164059923,0.554145796990953,1.0,1.0,0.0588235294117647,0.0220588235294118,1.44,0.01,3.92,0.02,0.54,0.0,18.2,0.0,-55.92,0.17,44.316,0.3199,301819867070.988,255603536494.182,192638281259.883,364904286065.741,5.92377447246385e-79,1.28492645320203e-37,2.59210036921618e-168,8.10218014973399e-08,0.0475060446025493,0.0049501234069062,3.363271311883349,0.0238651661213108,96.58465300450904,96.81239503481493,96.51745979726044,96.51745979726044,0.0713701457110523,0.34,,,,,,0.0323216392678293,0.0089671573425032,312.3548195420657,24.896610824123517,288.03755607046736,inf,inf,171.28284,inf,0.0097477719864537,0.1090734510096763,308.63776,5.564845713815492e-17,0.0229359925378685,0.3488547542038356,227.05739,1.7798308073182256e-16,2.0,2.0,2.0,,,-99.0,10.45997893011109,1,1,0
45,1525196197,2,196.5,197.5,219.667216,0.333636,0.3178,4,18.65,18.041,1.421,4.008,0.846,140.96,0.706169490578691,0.661689577086997,0.600578164059923,0.554145796990953,1.0,1.0,0.0,0.0,1.91,0.02,4.96,0.04,0.87,0.0,17.8,0.01,-37.31,0.77,53.511,0.3178,93535451565.1087,144197286111.44,105363062577.146,164267392626.93,0.452266502849637,0.492764475075566,0.0123390899176604,1.77536994345273,0.0367085252555941,0.0047245834689699,3.4403106061731576,0.0711535218135743,90.06953442752149,90.0732082766303,89.64945861801488,89.64945861801488,0.5502124991000721,0.31,,,,,,0.0396482505221183,0.0105449032999805,101.87045819714416,25.54115940195399,232.03884497469755,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,-99.0,7.571650374870582,1,1,0
46,1526198197,1,198.5,197.5,219.826437,2.252998,0.3021,4,18.769,18.269,1.688,3.867,0.774,81.35,0.608283321759694,0.564013949786904,0.497989088452326,0.452030233465649,1.0,0.94954128440367,0.913793103448276,0.711009174311927,3.68,0.21,8.0,0.21,0.67,0.01,17.87,0.03,-67.57,0.66,189.11,0.3021,179905782687.624,164653541770.039,150838179980.435,220237244024.166,12.973081460724,12.4140993457189,4.09500801136083,23.7631988825371,0.1553540974676586,0.0132600751144083,3.589155261693961,0.1595613174125384,78.95486938759674,78.80709002278249,78.22553533627055,78.22553533627055,0.783949050149994,0.13,0.0377032125651158,0.0131818974532281,227.2400907123088,14.268105327039333,150.26312176266984,,,,,,,,,,,,,,,,,,,,,,,,4.689537997907347,1,0,0
47,1527196197,1,196.5,197.5,220.044138,-0.65662,0.2899,4,19.317,18.663,1.032,2.64,0.598,68.5,0.613142032812757,0.572642793002213,0.509924426983493,0.464006465427152,1.0,0.9875,0.25,0.1125,1.08,0.01,3.04,0.03,0.27,0.0,18.62,0.0,62.57,0.08,44.375,0.2899,208583388063.942,209071955516.34,190222706325.868,227969531424.992,4.829425375977e-14,0.0005031764698812,2.8057784080388e-15,0.0511900983695237,0.0707376438476706,0.0056270970567053,2.8701652606543293,0.0032809381199172,56.180022254060006,56.45085612056789,56.677861106359565,56.677861106359565,0.500048083051503,0.24,,,,,,0.0243707910236146,0.0098747346733722,157.14002082308238,27.206900702425077,175.42896511423663,inf,inf,131.87479,inf,0.0182233631583134,0.0621333676265456,400.01,3.9777918356409704e-17,inf,inf,370.5285,inf,2.0,2.0,2.0,0.0819532,0.0149589,1.0,14.61670866889079,1,1,0
48,1528197197,2,197.5,197.5,220.2323,-1.648061,0.3219,4,18.869,18.345,2.085,4.069,0.581,157.23,0.662378590074119,0.622168153242609,0.564138325748838,0.520026280394483,1.0,0.988439306358382,1.0,1.0,2.06,0.01,0.73,0.0,0.54,0.0,18.37,0.0,-24.9,0.17,77.264,0.3219,205544411468.966,268957811152.992,205727165510.414,304729131957.663,103.771716212935,59.477879278381,28.8524688905049,142.137747444972,0.140196435793771,0.0040978372987947,2.246429723285466,0.0084385397573379,71.7050356535512,72.37984912811928,71.7668693322348,71.7668693322348,0.1205638311317073,0.15,0.0280080167771528,0.0017990323766043,190.23873782452188,35.96703274625589,83.81921276918817,0.0465602873150462,0.0093802267463861,166.0927974202463,12.6952013406303,107.4399910604245,1.1837637738397335,0.6236555954194579,11788.711,3.136268931439362e-16,10.198980238514771,0.5226768123601992,121190.79,2.6284620226753917e-16,7.391202610545207,0.5935697733803691,77337.375,2.984971918102145e-16,1.0,1.0,1.0,9.53248,0.241236,0.0,7.569035572949562,1,1,1
49,1529198197,3,198.5,197.5,220.366888,-0.099516,0.3449,4,19.636,19.01,1.066,3.021,0.856,3.13,0.669658015381145,0.628080888292574,0.565366818271749,0.517193141989892,1.0,1.0,0.0,0.0,1.04,0.18,5.62,0.79,0.92,0.04,18.85,0.08,-10.02,13.46,2430.47,0.3449,148588464268.695,113618197400.039,92066096689.7279,142837158890.032,0.418499691430447,1.8221655726581401e-10,5.78471482605823e-36,0.0080036712005879,0.0400541831349338,0.0074129445222261,3.285138420833825,0.8039360096707049,69.93616420278465,70.51492414970829,70.19362763821951,70.19362763821951,0.7096163838689923,0.18,,,,,,0.0506659685354979,0.0133847434075558,35.34118469873661,21.140991890307347,188.07189118394876,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,,,-99.0,8.107799746538626,1,1,0
51,1530197196,3,197.5,196.5,222.143845,2.94129,0.3096,4,18.78,18.158,1.061,3.525,0.746,104.6,0.585588809503333,0.548468429990449,0.488584729654547,0.44415520600675,1.0,1.0,0.0,0.0108695652173913,0.93,0.0,3.82,0.02,0.63,0.0,18.13,0.0,-84.82,0.13,19.561,0.3096,243633253485.157,201262047116.382,173505246643.628,232124168553.168,0.227063443706442,5.9999773154492e-05,2.64556951803654e-31,0.299240046877885,0.035002078452504,0.0052487352452526,3.365248174463229,0.1194650384798076,89.19945126917716,89.2745690211244,89.23740130097862,89.23740130097862,0.1579470125008357,0.25,,,,,,0.0145417788143705,0.0062948463694877,193.69763810734065,35.363776428731434,274.2602066792765,,,0.0,,9.678094523845238e-05,0.0034221648999835,42.080696,1.8831510054759764e-18,inf,inf,27.874905,inf,0.0,1.0,2.0,,,-99.0,15.140098912971776,1,1,0
52,1531194196,1,194.5,196.5,222.90367,-1.682174,0.3463,4,18.723,18.099,1.24,3.692,0.841,27.38,0.620042677674493,0.568691193744923,0.500024770757873,0.449051903751505,1.0,1.0,0.0,0.0564516129032258,1.7,0.02,6.01,0.05,0.79,0.0,17.87,0.01,57.28,0.32,39.383,0.3463,485616878894.937,422935321520.598,341641695538.393,498067731905.879,1.53336661667342e-44,1.8539023190073802e-25,3.84474233748908e-146,1.2867947871116e-07,0.0525041772982635,0.0044599727081381,3.553877804549294,0.0112550053071522,83.37740727912706,83.40560753086379,82.94780734390456,82.94780734390456,0.4295999375416867,0.28,,,,,,0.0223296465730729,0.0072463127871596,261.0899959265938,33.29122470370788,296.1952740161681,,,,,,,,,,,,,,,,,,,8.399072281896341,1,1,0
54,1533176049,6,176.5,49.5,222.97013,-0.15015,0.3145,4,19.888,19.374,1.368,2.597,0.602,153.52,0.572642793002213,0.536133123414348,0.478118191318244,0.436441140855001,0.973684210526316,0.513513513513513,1.0,0.837837837837838,2.17,0.02,1.13,0.01,0.24,0.0,19.17,0.01,-13.56,0.13,37.29,0.3145,125226188208.921,121292400539.55,105361008784.964,143729831623.558,30.6171707017994,38.3615714906712,30.4641796372889,46.9219037159932,0.4707729505130903,0.0267851821312728,2.4114665981158394,0.0070465649297802,46.99718480782397,48.85555094075798,47.31818659021653,47.31818659021653,2.0138220420457613,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.831838021817486,1,0,0
